City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,Bongandanga,1.5,21.05,70.12,99,100,2.82,CD,2021-04-23 21:07:36
245,Sanmenxia,34.7747,111.1814,55.56,93,100,5.23,CN,2021-04-23 21:07:36
246,Santa Maria,-29.6842,-53.8069,82.4,39,20,8.05,BR,2021-04-23 21:07:36
247,Quelimane,-17.8786,36.8883,69.87,85,0,1.97,MZ,2021-04-23 21:07:37
248,Taloqan,36.7361,69.5345,57.18,41,0,4.23,AF,2021-04-23 21:07:37
249,Barrow,71.2906,-156.7887,19.4,79,1,3.44,US,2021-04-23 21:04:14
250,Vostok,46.4856,135.8833,40.96,85,100,6.4,RU,2021-04-23 21:06:57
251,Hithadhoo,-0.6,73.0833,81.91,74,8,7.45,MV,2021-04-23 21:07:37
252,Vila Franca Do Campo,37.7167,-25.4333,59.0,72,40,17.27,PT,2021-04-23 21:07:38
253,Yulara,-25.2406,130.9889,51.8,66,0,5.75,AU,2021-04-23 21:07:38
254,Carnarvon,-24.8667,113.6333,64.4,77,0,8.05,AU,2021-04-23 21:07:38
255,Yigou,35.8114,114.3167,53.94,75,100,20.07,CN,2021-04-23 21:07:39
256,Souillac,-20.5167,57.5167,78.8,78,75,10.36,MU,2021-04-23 21:07:39
257,Lujan,-34.5703,-59.105,77.0,68,0,5.75,AR,2021-04-23 21:07:39
258,Staryy Nadym,65.6118,72.6842,34.41,99,100,11.36,RU,2021-04-23 21:07:39
259,Kaele,10.1092,14.4508,94.66,28,94,8.21,CM,2021-04-23 21:07:40
260,Kaitangata,-46.2817,169.8464,51.01,82,21,5.99,NZ,2021-04-23 21:07:40
261,Isiro,2.7739,27.616,65.91,98,100,1.86,CD,2021-04-23 21:07:40
262,Karagay,58.2667,54.9368,37.81,92,90,4.81,RU,2021-04-23 21:07:41
263,Terrace,54.5163,-128.6035,59.0,26,20,8.05,CA,2021-04-23 21:04:21
264,Jimeta,9.2833,12.4667,89.87,42,100,5.73,NG,2021-04-23 21:07:41
265,Bourail,-21.5667,165.4833,75.76,84,77,3.22,NC,2021-04-23 21:07:41
266,Villaviciosa,43.4813,-5.4357,64.99,59,57,5.41,ES,2021-04-23 21:07:42
267,Manokwari,-0.8667,134.0833,78.58,80,100,2.04,ID,2021-04-23 21:07:42
268,Ewa Beach,21.3156,-158.0072,84.2,48,40,10.36,US,2021-04-23 21:07:42
269,Cap-Aux-Meules,47.3821,-61.8597,35.6,87,100,21.85,CA,2021-04-23 21:07:42
270,Chizhou,30.6578,117.4831,59.13,94,41,5.59,CN,2021-04-23 21:07:43
271,Menomonie,44.8755,-91.9193,55.4,46,90,6.91,US,2021-04-23 21:07:43
272,Saint-Augustin,51.226,-58.6502,33.24,86,100,13.47,CA,2021-04-23 21:07:43
273,Moron,-34.6534,-58.6198,75.2,57,0,8.05,AR,2021-04-23 21:07:43
274,Srednekolymsk,67.45,153.6833,9.63,94,100,17.02,RU,2021-04-23 21:04:19
275,Paso De Los Toros,-32.8167,-56.5167,73.4,60,0,6.91,UY,2021-04-23 21:07:44
276,Montepuez,-13.1256,38.9997,69.85,83,86,6.2,MZ,2021-04-23 21:07:44
277,Russell,32.3502,-85.1999,73.4,28,20,8.05,US,2021-04-23 21:07:44
278,Belaya Gora,68.5333,146.4167,4.89,97,97,3.98,RU,2021-04-23 21:07:45
279,Nanortalik,60.1432,-45.2371,36.77,85,17,3.51,GL,2021-04-23 21:07:45
280,Agapovka,53.2973,59.1348,42.8,87,90,6.71,RU,2021-04-23 21:07:45
281,Kencong,-8.2833,113.3667,73.08,86,6,2.84,ID,2021-04-23 21:07:45
282,Castlebar,53.85,-9.3,55.0,58,100,5.99,IE,2021-04-23 21:07:46
283,Kamiiso,41.8167,140.65,47.52,64,87,2.39,JP,2021-04-23 21:07:46
284,Ambanja,-13.6833,48.45,74.61,91,100,2.8,MG,2021-04-23 21:07:46
285,Sandpoint,48.2766,-116.5533,57.0,43,40,8.05,US,2021-04-23 21:07:47
