,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Pio Xii,BR,-3.8325,-45.1525,85.82,67,97,3.42,overcast clouds
299,Lumphat,KH,13.4878,106.9816,83.37,64,33,3.44,scattered clouds
300,Camana,PE,-16.6228,-72.7111,68.92,79,47,9.64,scattered clouds
301,Hirara,JP,24.8,125.2833,71.67,67,6,18.43,clear sky
302,Kimbe,PG,-5.5502,150.1429,76.69,90,99,2.46,light rain
303,Anadyr,RU,64.75,177.4833,23.0,100,40,2.24,fog
304,Nueva Concepcion,GT,14.2,-91.3,77.0,88,20,2.95,few clouds
305,Cacu,BR,-18.5567,-51.1308,83.12,27,95,3.56,overcast clouds
306,Bredasdorp,ZA,-34.5322,20.0403,64.4,72,100,1.14,overcast clouds
307,El Alto,PE,-4.2714,-81.2147,68.0,88,40,16.11,scattered clouds
308,Fairbanks,US,64.8378,-147.7164,32.0,69,1,5.75,clear sky
309,Paso De Los Toros,UY,-32.8167,-56.5167,59.0,82,75,17.27,broken clouds
310,Saint Anthony,US,45.0205,-93.218,37.99,75,90,5.68,overcast clouds
311,Hue,VN,16.4667,107.6,82.4,89,40,3.44,light rain
312,Great Yarmouth,GB,52.6083,1.7305,51.01,62,75,13.8,broken clouds
313,Kahului,US,20.8947,-156.47,71.6,94,75,16.11,broken clouds
314,Siuna,NI,13.7332,-84.7773,80.62,63,43,2.53,scattered clouds
315,Piacabucu,BR,-10.4056,-36.4344,82.62,70,30,5.59,scattered clouds
316,Formosa,AR,-26.1775,-58.1781,65.88,87,92,7.54,overcast clouds
317,Tonantins,BR,-2.8731,-67.8022,80.98,89,91,2.75,heavy intensity rain
318,Eyl,SO,7.9803,49.8164,85.15,67,14,11.36,few clouds
319,Maniitsoq,GL,65.4167,-52.9,40.35,72,33,3.13,scattered clouds
320,Aswan,EG,24.0934,32.907,102.27,6,0,8.16,clear sky
321,Paka,MY,4.6374,103.4368,78.8,83,89,2.3,overcast clouds
322,Kuching,MY,1.55,110.3333,80.6,89,20,2.3,few clouds
323,Tagusao,PH,9.1924,117.8141,80.19,78,11,2.39,few clouds
324,Urusha,RU,54.05,122.9,37.69,68,100,2.46,overcast clouds
325,Takoradi,GH,4.8845,-1.7554,86.25,66,83,11.36,broken clouds
326,Jabinyanah,TN,35.035,10.9081,69.8,52,20,10.36,few clouds
327,Hauterive,FR,46.0901,3.4459,71.6,28,0,3.44,clear sky
328,Yuancheng,CN,36.652,107.7896,50.31,88,100,6.67,overcast clouds
329,Maine-Soroa,NE,13.2114,12.0241,105.6,11,100,9.51,overcast clouds
330,Olafsvik,IS,64.8945,-23.7142,42.8,91,94,6.58,overcast clouds
331,Ambon,ID,-3.6954,128.1814,82.99,82,96,10.29,overcast clouds
332,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,80.6,89,40,2.3,scattered clouds
333,Aqtobe,KZ,50.2797,57.2072,57.2,44,0,17.9,light rain
334,Roebourne,AU,-20.7833,117.1333,79.29,61,0,2.44,light rain
335,Nioro,GM,13.35,-15.75,99.97,12,14,5.41,few clouds
336,Keuruu,FI,62.2667,24.7,37.4,81,90,16.11,light rain
337,Luwuk,ID,-0.9516,122.7875,77.14,82,99,2.57,overcast clouds
338,Zaida,PK,34.0603,72.4678,81.32,22,6,2.35,clear sky
339,Riyadh,SA,24.6877,46.7219,98.6,8,0,8.05,clear sky
340,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,57,1,9.22,clear sky
341,Waipawa,NZ,-41.4122,175.5153,57.2,77,75,18.41,broken clouds
342,Constitucion,CL,-35.3333,-72.4167,61.57,56,0,5.06,clear sky
343,Ostrovnoy,RU,68.0531,39.5131,35.65,93,100,16.96,overcast clouds
344,Kaitangata,NZ,-46.2817,169.8464,39.99,78,18,4.0,few clouds
